price_date,ticker,price,price_std
2015-01-09,DTE,86.8,1.2891
2015-01-21,DTE,90.87,1.5796
2015-01-23,DTE,91.24,1.8645
2015-01-29,DTE,91.54,1.7297
2015-03-10,DTE,78.78,1.9688
2015-05-08,DTE,79.21,1.603
2015-05-22,DTE,79.61,0.793
2015-06-09,DTE,74.52,2.0274
2015-06-19,DTE,75.69,1.1739
2015-07-15,DTE,77.5,1.4382
2015-07-17,DTE,77.51,1.2841
2015-08-05,DTE,79.21,1.3569
2015-10-06,DTE,80.72,1.2219
2015-10-14,DTE,81.76,1.1106
2015-10-22,DTE,84.87,1.427
2015-11-19,DTE,80.93,1.3136
2015-11-20,DTE,81.38,1.2672
2015-12-15,DTE,79.12,1.0084
2015-12-30,DTE,81.54,1.0889
2016-01-06,DTE,79.59,0.9001
2016-01-14,DTE,81.32,0.9919
2016-02-08,DTE,86.22,2.7456
2016-03-22,DTE,88.37,1.6388
2016-03-28,DTE,89.28,0.7144
2016-03-29,DTE,90.87,0.8171
2016-06-02,DTE,91.11,1.218
2016-06-28,DTE,96.79,1.0175
2016-08-03,DTE,96.67,0.7046
2016-09-26,DTE,96.63,1.915
2016-09-29,DTE,93.05,1.7617
2016-10-27,DTE,93.69,0.7437
2016-11-22,DTE,93.83,1.5602
2016-12-01,DTE,93.61,1.5524
2017-01-31,DTE,98.64,0.5727
2017-03-06,DTE,101.66,1.386
2017-03-07,DTE,101.55,1.3464
2017-03-08,DTE,100.11,1.1827
2017-03-17,DTE,100.9,0.7641
2017-03-20,DTE,100.23,0.7739
2017-05-08,DTE,104.49,0.4101
2017-05-18,DTE,105.34,0.6255
2017-06-01,DTE,110.41,1.8686
2017-07-11,DTE,104.68,1.9463
2017-07-12,DTE,105.59,1.7049
2017-07-14,DTE,105.39,1.2578
2017-07-19,DTE,105.94,0.4284
2017-08-16,DTE,109.88,0.9986
2017-08-22,DTE,111.37,0.9664
2017-08-29,DTE,112.11,1.3667
2017-08-30,DTE,111.97,1.3496
2017-09-14,DTE,111.58,0.7802
2017-09-21,DTE,109.02,1.3781
2017-10-17,DTE,110.16,1.3035
2017-10-30,DTE,110.34,1.1411
2018-01-11,DTE,103.93,1.7747
2018-01-22,DTE,103.36,1.7775
2013-03-07,DUK,69.55,0.5683
2013-03-28,DUK,72.59,0.8567
2013-06-07,DUK,67.69,1.64
2013-06-13,DUK,67.49,0.5609
2013-06-21,DUK,65.58,0.8756
2013-07-05,DUK,67.27,0.9496
2013-07-11,DUK,69.9,1.1594
2013-07-12,DUK,70.15,1.2625
2013-08-13,DUK,70.82,0.3399
2013-08-15,DUK,67.91,1.0486
2013-08-27,DUK,65.85,2.1667
2013-09-16,DUK,66.03,0.4546
2013-09-27,DUK,66.9,1.0625
2013-09-30,DUK,66.78,1.0368
2013-10-04,DUK,66.43,0.6038
2013-11-26,DUK,70.5,0.805
2013-11-29,DUK,69.96,0.7396
2013-12-10,DUK,69.27,0.547
2013-12-20,DUK,69.5,0.7152
2014-01-07,DUK,68.49,0.5647
2014-01-14,DUK,67.57,0.5743
2014-01-15,DUK,67.13,0.6011
2014-02-07,DUK,69.99,0.7968
2014-03-11,DUK,69.47,0.6913
2014-03-17,DUK,71.1,0.4785
2014-03-19,DUK,68.71,0.6088
2014-04-16,DUK,73.23,0.9586
2014-04-21,DUK,72.46,0.9696
2014-04-24,DUK,73.06,0.7695
2014-05-22,DUK,70.55,1.2551
2014-06-06,DUK,71.34,0.4937
2014-06-17,DUK,70.71,0.4716
2014-06-25,DUK,73.04,1.0848
2014-08-08,DUK,71.75,1.3649
2014-08-19,DUK,72.88,0.8205
2014-09-04,DUK,74.02,0.6354
2014-10-02,DUK,74.99,0.5557
2014-10-10,DUK,76.83,1.0993
2014-10-16,DUK,78.17,1.5795
2014-10-28,DUK,80.72,1.3883
2014-12-09,DUK,82.18,1.2035
2014-12-12,DUK,82.69,1.302
2014-12-19,DUK,82.85,0.7911
2015-01-06,DUK,84.2,1.62
2015-01-09,DUK,84.93,1.0967
2015-01-21,DUK,88.68,1.678
2015-01-23,DUK,88.72,1.8837
2015-01-29,DUK,89.36,1.5432
2015-03-10,DUK,74.7,1.7394
2015-05-08,DUK,77.11,0.9568
2015-05-22,DUK,76.05,0.63
2015-06-09,DUK,72.13,1.5163
2015-06-19,DUK,73.2,0.954
